PRODOTTI,FORMATO (circa),PREZZO + IVA,EAN
Fontina DOP intera,Forma intera (circa 8 KG),"12,50 €/kg + 4%",8053676
Fontina DOP ¼,circa 2 kg,"12,90 €/kg + 4%",8053676
Fontina DOP 1/8,circa 1 kg,"13,00 €/kg + 4%",8053676
Fontina DOP,750 gr,,8053676
Fontina DOP,500 gr,,8053676
Fontina DOP,200 g,"13,80 €/kg + 4%",8053676
Fontina DOP stagionata 2 anni intera,Forma intera (circa 8 KG),,
Fontina DOP stagionata 2 anni ¼,circa 2 kg,,
Fontina DOP stagionata 2 anni 1/8,circa 1 kg,,
Fontina DOP stagionata 2 anni,750 gr,,
Fontina DOP stagionata 2 anni,500 gr,,
Fontina DOP stagionata 2 anni,200 g,,
Fontina alpeggio intera,Forma intera (circa 8 KG),"14,00 €/kg + 4%",
Fontina alpeggio ¼,circa 2 Kg,"14,40 €/kg + 4%",
Fontina alpeggio 1/8,(circa 1 kg ),"14,50 €/kg + 4%",
Fontina alpeggio,750 gr,,
Fontina alpeggio,500 gr,,
Fontina alpeggio,200 g,,
Fontina Estrema d’Alpeggio intera,Forma intera (circa 8 KG),,2991020
Fontina Estrema d’Alpeggio ¼,Circa 2 KG,"27,00 €/kg + 4%",2991020
Fontina Estrema d’alpeggio 1/8,Circa 1 kg,"27,10 €/kg + 4%",2991020
Fontina Estrema d’Alpeggio,750 gr,,2991020
Fontina Estrema d’alpeggio ,500 gr,"27,50 €/kg + 4%",2991020
Fontina Estrema d’Alpeggio,200 g,,2991020
Toma stagionata,"(forma intera circa 1,6 kg )","12,70 €/kg + 4%",
Toma stagionata,1 kg,,
Toma stagionata,500 gr,"13,00 €/kg +4%",
Toma stagionata,200 gr,"13,10 €/kg + 4%",
Toma semistagionata,"( forma intera circa 1,8 kg )","11,70 €/kg + 4%",
Toma semistagionata,1 kg,,
Toma semistagionata,500 gr,"12,00 €/kg + 4%",
Toma semistagionata,200 gr,"12,10 €/kg + 4%",
Fonduta ,270 g vaso vetro,"4,90 €/pz + 10 %",8.05E+12
Burro chiarificato,250 g,"3,50 €/pz + 4%",8.05E+12
Burro chiarificato,1000 g,"11,00 €/pz + 4%",8.05E+12
Toma di Gressoney  intera,Forma intera (circa 3 KG),,
Toma di Gressoney ,porzione 1 kg,"13,80 €/kg + 4 %",
Toma di Gressoney ,500 gr,,
Toma di Gressoney ,200 gr,,
Bleu d’Aoste intero,"Forma intera (circa 2,2 KG)",,2.99E+12
Bleu d’Aoste,porzione 1 kg,"14,40 €/kg + 4 %",2.99E+12
Bleu d’Aoste,500 gr,,2.99E+12
Bleu d’Aoste,200 gr,,2.99E+12
Formaggio Valdostano,Forma intera (circa 8 KG),,
Formaggio Valdostano,"circa 2,3 kg",,
Formaggio Valdostano,circa 1 kg,,
Formaggio Valdostano,750 gr,,
Formaggio Valdostano,500 gr,,
Formaggio Valdostano,200 g,,
Caciotta intera - Petit fromage,Forma intera (circa 750gr),"10,80 €/kg +4 %",
Caciotta,375 gr,"10,90 €/kg +4%",
Toma di capra intera tronchetto ,Forma intera (1 kg ),"18,60 €/kg + 4%",
Toma di capra caciotta ,forma intera 250g,"18,60 €/kg + 4%",
Toma di capra,500 gr,,
Toma di capra,200 gr,,
Yogurt,,,
x,,,
x,,,
x,,,
Burro,,,
x,,,
x,,,
x,,,
